id,name,host_id,host_name,host_since,host_listings_count,zipcode,smart_location,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,cancellation_policy
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,8/13/2014,1,98119,"Seattle, WA",United States,47.63554551,-122.3731708,Apartment,Entire home/apt,4,1,2,3,Real Bed,$245.00 ,"$1,575.00 ","$5,800.00 ",$300.00 ,$95.00 ,1,$0.00 ,3,14,2 weeks ago,13,moderate
8889257,Elegance in Historic Queen Anne,25899989,Ellie,1/10/2015,1,98119,"Seattle, WA",United States,47.62950681,-122.3676293,House,Entire home/apt,5,1,2,3,Real Bed,$165.00 ,,"$5,000.00 ",$400.00 ,$85.00 ,4,$20.00 ,2,1125,today,3,strict
5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,10/10/2014,1,98119,"Seattle, WA",United States,47.63920266,-122.3658627,House,Entire home/apt,16,3.5,6,15,Real Bed,$461.00 ,,,"$1,500.00 ",$300.00 ,8,$50.00 ,3,29,5 days ago,18,strict
8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,7/18/2012,1,98119,"Seattle, WA",United States,47.63564979,-122.3728928,House,Entire home/apt,5,1,2,2,Real Bed,$109.00 ,,,,$89.00 ,1,$0.00 ,3,15,3 days ago,1,strict
3245876,Park Life in Lower Queen Anne,9465817,Libby,10/16/2013,1,98119,"Seattle, WA",United States,47.62620037,-122.3666019,Apartment,Private room,2,1,1,1,Real Bed,$66.00 ,,,$100.00 ,$35.00 ,1,$25.00 ,1,10,yesterday,84,moderate
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,12/31/2014,1,98119,"Seattle, WA",United States,47.64064588,-122.3724059,House,Private room,2,1,1,1,Real Bed,$99.00 ,,,$100.00 ,$15.00 ,1,$0.00 ,2,14,2 weeks ago,45,moderate
7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,4/30/2013,1,98119,"Seattle, WA",United States,47.63977587,-122.3722354,Apartment,Private room,2,2,1,1,Futon,$200.00 ,,,,,1,$0.00 ,1,1125,5 months ago,0,flexible
6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,5/5/2015,1,98119,"Seattle, WA",United States,47.63602478,-122.3586936,House,Entire home/apt,10,3.5,5,5,Real Bed,$700.00 ,"$4,100.00 ",,$500.00 ,$250.00 ,1,$0.00 ,3,30,2 months ago,5,flexible
9218403,Queen Anne View One Bedroom,14100483,Annie,4/9/2014,1,98119,"Seattle, WA",United States,47.62794034,-122.3649587,Condominium,Entire home/apt,1,1,1,1,Real Bed,$110.00 ,$750.00 ,"$2,500.00 ",,,1,$0.00 ,1,1125,4 weeks ago,1,flexible
4125779,Cozy Queen Anne Finished Basement,21401856,Nick,9/16/2014,1,98119,"Seattle, WA",United States,47.63637426,-122.3610334,House,Private room,3,1.5,1,2,Real Bed,$99.00 ,$568.00 ,"$2,029.00 ",,$15.00 ,1,$10.00 ,1,1125,2 months ago,11,moderate
8942678,Lovely Queen Anne home,46675077,Susanna,10/16/2015,1,98119,"Seattle, WA",United States,47.63563222,-122.3588809,House,Entire home/apt,8,2,4,4,Real Bed,$450.00 ,"$3,000.00 ",,,,1,$0.00 ,4,1125,2 months ago,1,flexible
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,12/20/2015,1,98119,"Seattle, WA",United States,47.63339396,-122.3719199,House,Private room,2,1,1,1,Real Bed,$75.00 ,$350.00 ,,,,1,$0.00 ,1,1125,today,0,flexible
6362362,Charming home on Queen Anne,33147763,Tracy,5/11/2015,1,98119,"Seattle, WA",United States,47.63851671,-122.369581,House,Entire home/apt,5,2.5,3,3,Real Bed,$600.00 ,,,$500.00 ,$150.00 ,1,$0.00 ,3,1125,3 months ago,1,moderate
3544550,VIEW-Monthly Rental Available,16708587,Jill,6/12/2014,2,98119,"Seattle, WA",United States,47.63139735,-122.3677669,House,Entire home/apt,8,2.5,3,5,Real Bed,$450.00 ,,,$500.00 ,$200.00 ,6,$50.00 ,4,1125,today,8,strict
9025039,Cute Bungalow-Close to Everything!,68155,Lori,1/6/2010,1,98119,"Seattle, WA",United States,47.63875224,-122.3679727,House,Entire home/apt,5,1,2,3,Real Bed,$150.00 ,,,$250.00 ,$35.00 ,1,$0.00 ,1,1125,3 days ago,0,flexible
3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,10/30/2012,5,98119,"Seattle, WA",United States,47.63926602,-122.3747258,Camper/RV,Private room,2,1,1,1,Real Bed,$45.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7,yesterday,80,strict
8859380,STUNNING VIEW of Puget Sound,3792761,Kimberly,10/7/2012,5,98119,"Seattle, WA",United States,47.62990712,-122.3689481,Apartment,Entire home/apt,6,2,3,3,Real Bed,$300.00 ,,,$500.00 ,$125.00 ,1,$0.00 ,2,1125,4 days ago,6,moderate
4520099,Open Airy Queen Anne Condo,6184895,Lana,5/1/2013,1,98119,"Seattle, WA",United States,47.63981587,-122.3743385,Apartment,Entire home/apt,3,1,1,2,Real Bed,$80.00 ,$500.00 ,,,$65.00 ,3,$50.00 ,2,1125,5 days ago,4,strict
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,2/21/2013,6,98119,"Seattle, WA",United States,47.63900778,-122.3653201,Apartment,Entire home/apt,4,1,1,1,Real Bed,$175.00 ,"$1,000.00 ","$3,200.00 ",,$40.00 ,1,$0.00 ,2,365,today,38,strict
1110749,Queen Anne 3 bed near everything,5325329,Blair,3/4/2013,9,98119,"Seattle, WA",United States,47.63508504,-122.3644435,House,Entire home/apt,6,1.5,3,3,Real Bed,$325.00 ,,,$500.00 ,$100.00 ,6,$60.00 ,2,1125,today,68,strict
5978498,1914 Stunner View Ocean Mountain,31037494,Silvia,4/11/2015,1,98119,"Seattle, WA",United States,47.64063323,-122.3727094,House,Entire home/apt,4,3,3,2,Real Bed,$175.00 ,$699.00 ,"$2,388.00 ",$200.00 ,$80.00 ,1,$0.00 ,4,120,4 days ago,8,flexible
5021081,Seattle Queen Anne Beauty,25906186,Vacation,1/10/2015,1,98119,"Seattle, WA",United States,47.63812149,-122.37579,House,Entire home/apt,7,3.5,4,3,Real Bed,$222.00 ,"$1,325.00 ","$4,650.00 ",$500.00 ,$250.00 ,7,$75.00 ,2,1125,today,5,strict
1686930,The Hideaway- Queen Anne/downtown,8916363,Paige,9/18/2013,1,98119,"Seattle, WA",United States,47.62981553,-122.3662123,Apartment,Entire home/apt,4,1,2,2,Real Bed,$159.00 ,,,$250.00 ,$99.00 ,1,$0.00 ,1,1125,today,62,strict
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,8/2/2015,2,98119,"Seattle, WA",United States,47.63981019,-122.3738006,Apartment,Entire home/apt,4,1,1,2,Real Bed,$125.00 ,$800.00 ,"$2,700.00 ",,$50.00 ,2,$25.00 ,2,365,2 weeks ago,19,moderate
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,Joe & Anna,5/23/2013,1,98119,"Seattle, WA",United States,47.63556952,-122.3616526,House,Entire home/apt,8,3,3,3,Real Bed,$348.00 ,"$2,500.00 ",,$750.00 ,$150.00 ,6,$20.00 ,3,1125,5 months ago,5,strict
5062445,Cozy Homebase Close to Downtown,21072725,Chris,9/8/2014,1,98119,"Seattle, WA",United States,47.63497873,-122.3588694,House,Private room,1,1,1,1,Futon,$45.00 ,$450.00 ,"$1,500.00 ",,,1,$0.00 ,1,1125,4 days ago,7,flexible
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,8/2/2015,2,98119,"Seattle, WA",United States,47.6393621,-122.3724026,Apartment,Entire home/apt,4,1,1,2,Real Bed,$150.00 ,$950.00 ,"$2,950.00 ",,$50.00 ,2,$25.00 ,2,365,2 weeks ago,2,moderate
6389657,Cute little Seattle Studio!,2052160,Ruth,4/2/2012,1,98109,"Seattle, WA",United States,47.63461628,-122.3580227,Apartment,Entire home/apt,2,1,0,1,Real Bed,$80.00 ,,,,$20.00 ,1,$0.00 ,3,1125,today,11,flexible
4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,9/28/2014,1,98119,"Seattle, WA",United States,47.63800138,-122.3610048,Apartment,Entire home/apt,4,1,1,2,Real Bed,$110.00 ,,,$100.00 ,$40.00 ,2,$15.00 ,2,1125,2 days ago,71,moderate
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,Debera,8/18/2013,1,98119,"Seattle, WA",United States,47.63199585,-122.3716577,House,Entire home/apt,3,1,1,2,Real Bed,$148.00 ,,,,$100.00 ,2,$20.00 ,3,365,today,9,strict
1392332,Modern Eco-Friendly View Retreat,2315558,Holly,5/7/2012,1,98119,"Seattle, WA",United States,47.63868624,-122.3707999,House,Entire home/apt,4,1.5,2,2,Real Bed,$350.00 ,"$2,100.00 ",,$500.00 ,$100.00 ,4,$0.00 ,2,30,5 months ago,41,moderate
7308567,Beautiful 1 Bedrm in Queen Anne,17597607,Nicole,7/3/2014,1,98119,"Seattle, WA",United States,47.63365004,-122.3604497,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,$150.00 ,,,,$50.00 ,1,$0.00 ,2,1125,today,18,moderate
6575380,One bedroom with Lounge,34392395,Sam,5/27/2015,1,98109,"Seattle, WA",United States,47.63430018,-122.3570598,House,Private room,5,1,1,1,Real Bed,$150.00 ,$540.00 ,"$1,911.00 ",,,1,$0.00 ,1,1125,3 weeks ago,9,flexible
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,9031463,Marina,9/24/2013,1,98119,"Seattle, WA",United States,47.62834387,-122.3664054,Apartment,Entire home/apt,2,1,0,1,Futon,$100.00 ,,,,,1,$0.00 ,1,1125,4 weeks ago,20,flexible
9550869,Queen Anne Craftsman,12867960,Maureen,3/6/2014,1,98119,"Seattle, WA",United States,47.63539394,-122.3689911,Bungalow,Entire home/apt,10,3,4,4,Real Bed,$349.00 ,,,,$200.00 ,1,$0.00 ,1,1125,3 days ago,0,strict
8515408,Queen Anne Hill Craftsman studio,3502513,Jennifer,9/7/2012,1,98119,"Seattle, WA",United States,47.63803516,-122.3609101,Bungalow,Entire home/apt,2,1,0,1,Real Bed,$110.00 ,$700.00 ,,,$50.00 ,1,$0.00 ,2,1125,a week ago,3,moderate
5383192,Craftsman House Near Everything,27606550,Christine,2/11/2015,1,98119,"Seattle, WA",United States,47.63933159,-122.3615994,House,Entire home/apt,4,1,1,2,Real Bed,$160.00 ,"$1,140.00 ",,$100.00 ,$55.00 ,2,$25.00 ,2,1125,4 weeks ago,1,moderate
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Annie,4/10/2013,1,98119,"Seattle, WA",United States,47.63530805,-122.3665317,House,Entire home/apt,4,1,1,3,Real Bed,$130.00 ,"$1,000.00 ","$2,700.00 ",$140.00 ,$75.00 ,2,$25.00 ,3,1125,2 weeks ago,26,moderate
7772661,:: Carriage House :: Queen Anne ::,40885963,Michael,8/8/2015,1,98119,"Seattle, WA",United States,47.63737488,-122.3694109,House,Entire home/apt,2,1,0,1,Real Bed,$99.00 ,,,,$50.00 ,2,$50.00 ,1,1125,1 week ago,2,moderate
9254900,STUDIO APARTMENT WITH A VIEW,27128936,Anisa,2/2/2015,1,98119,"Seattle, WA",United States,47.63829757,-122.3737787,Apartment,Entire home/apt,2,1,0,1,Real Bed,$100.00 ,,"$2,000.00 ",,$40.00 ,1,$0.00 ,1,1125,4 days ago,0,flexible
7714294,Top Floor Apt. W/ Spectacular View!,3521823,Elise,9/10/2012,2,98119,"Seattle, WA",United States,47.63175344,-122.3712717,Apartment,Entire home/apt,3,1,1,1,Futon,$137.00 ,$815.00 ,,,$20.00 ,2,$20.00 ,2,1125,4 days ago,3,moderate
10310373,"Cozy, cute, Queen Anne living",53050379,Ana,1/2/2016,1,98119,"Seattle, WA",United States,47.63858056,-122.3753257,Apartment,Private room,3,1,1,1,Real Bed,$20.00 ,,,,,1,$0.00 ,1,1125,yesterday,0,flexible
9368342,"Beautiful, Modern Townhouse",1039322,Manomi,8/30/2011,1,98119,"Seattle, WA",United States,47.63788372,-122.3673711,Townhouse,Entire home/apt,2,1.5,1,1,Real Bed,$150.00 ,,,$500.00 ,$50.00 ,2,$30.00 ,4,1125,a week ago,0,strict
6361863,Located in the heart of Queen Anne,25150356,Kurt & Anna,12/24/2014,1,98119,"Seattle, WA",United States,47.63751735,-122.3608117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$145.00 ,,,$100.00 ,$30.00 ,2,$10.00 ,2,1125,today,44,moderate
8105221,Cozy room in Modern Queen Anne Home,15155647,Shiri,5/6/2014,1,98119,"Seattle, WA",United States,47.63687418,-122.3722717,Townhouse,Private room,2,1,1,1,Futon,$80.00 ,,,,,1,$0.00 ,1,1125,2 weeks ago,10,flexible
3269390,Stand alone Guest Cottage,12171359,Diane,2/12/2014,3,98119,"Seattle, WA",United States,47.63256274,-122.3672228,House,Entire home/apt,2,1,0,1,Real Bed,$95.00 ,,,$200.00 ,$60.00 ,1,$0.00 ,3,1125,1 week ago,77,moderate
4566393,Beautiful West Queen Anne Craftsman,23669617,Irmela,11/12/2014,1,98119,"Seattle, WA",United States,47.63532192,-122.3661211,House,Entire home/apt,4,2.5,3,3,Real Bed,$400.00 ,"$2,100.00 ","$7,500.00 ",$750.00 ,$120.00 ,4,$20.00 ,2,1125,13 months ago,0,moderate
9282409,Bright & Airy room w/ $1M views,560743,Zachary,5/5/2011,1,98119,"Seattle, WA",United States,47.63263391,-122.3693184,House,Private room,2,2,1,1,Real Bed,$85.00 ,$450.00 ,,,,1,$0.00 ,2,1125,7 weeks ago,2,moderate
8095168,Private room in upper QA w/ view!,3521823,Elise,9/10/2012,2,98119,"Seattle, WA",United States,47.63260004,-122.3699524,Apartment,Private room,2,1,1,1,Futon,$70.00 ,,,,$20.00 ,1,$0.00 ,1,1125,2 months ago,1,flexible
2746782,Suite Garage on Queen Anne,4016632,Jean-Marc,10/30/2012,5,98119,"Seattle, WA",United States,47.64105215,-122.3750817,Apartment,Entire home/apt,2,1,0,1,Real Bed,$90.00 ,$540.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,14,yesterday,109,strict
6424982,Peaceful Queen Anne Getaway,33524725,Ruth,5/16/2015,1,98119,"Seattle, WA",United States,47.63140095,-122.3676901,House,Private room,2,1,1,1,Real Bed,$80.00 ,,,,,2,$15.00 ,1,6,2 days ago,52,flexible
762029,Hand crafted Gypsy Wagon with heart,4016632,Jean-Marc,10/30/2012,5,98119,"Seattle, WA",United States,47.64152493,-122.3761504,Camper/RV,Private room,2,1,1,2,Real Bed,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,2,$0.00 ,2,7,yesterday,191,strict
8988281,Cozy 2 BR/1 BA Queen Anne Home,46954097,Nell & Andreas,10/19/2015,1,98119,"Seattle, WA",United States,47.6353107,-122.3635056,House,Entire home/apt,4,1,2,2,Real Bed,$175.00 ,,,$250.00 ,$78.00 ,4,$50.00 ,1,15,today,0,moderate
7077910,"Modern Townhouse, Heart of Ballard!",2843411,Dina,7/5/2012,1,98107,"Seattle, WA",United States,47.66932717,-122.3925936,House,Entire home/apt,6,2.5,3,4,Real Bed,$170.00 ,"$1,195.00 ","$3,195.00 ",$250.00 ,$100.00 ,6,$100.00 ,4,1125,4 days ago,9,strict
3772674,Cozy Ballard Apartment,18232665,Kim,7/17/2014,1,98107,"Seattle, WA",United States,47.67407416,-122.3938641,Apartment,Entire home/apt,2,1,1,1,Real Bed,$85.00 ,$650.00 ,,,$50.00 ,2,$20.00 ,3,1125,today,65,moderate
7021906,Plum Modern - 5 bdrm Tranquility,28770702,Mercy,3/4/2015,4,98107,"Seattle, WA",United States,47.67362807,-122.389302,House,Entire home/apt,12,3.5,5,7,Real Bed,$465.00 ,"$3,035.00 ","$12,140.00 ","$1,000.00 ",$250.00 ,1,$0.00 ,3,1125,today,5,strict
7618605,1BR-Ultra Hip Ballard-Walk to Bars!,5326074,Mckinzy,3/4/2013,1,98107,"Seattle, WA",United States,47.66845996,-122.379516,Apartment,Entire home/apt,2,1,1,1,Real Bed,$175.00 ,,,$250.00 ,$50.00 ,1,$0.00 ,1,1125,3 weeks ago,5,flexible
10234558,Cozy BR in heart of lively Ballard,31887689,Sophia,4/25/2015,1,98107,"Seattle, WA",United States,47.67066232,-122.3786659,Condominium,Private room,2,1,1,1,Real Bed,$50.00 ,,,,,0,$0.00 ,1,1125,yesterday,0,flexible
7021702,"Modern, Cozy 1 Bedroom Apartment",36805437,Brooke,6/26/2015,1,98107,"Seattle, WA",United States,47.67264618,-122.389333,Apartment,Private room,2,1,1,1,Real Bed,$60.00 ,,,,,1,$0.00 ,1,1125,6 months ago,0,flexible
7680439,Urban cottage in heart of Ballard,1612983,Andrea,1/16/2012,1,98107,"Seattle, WA",United States,47.67317538,-122.3822596,House,Private room,2,1,1,1,Pull-out Sofa,$59.00 ,$351.00 ,,,$12.00 ,1,$0.00 ,1,1125,3 weeks ago,16,flexible
4258515,**Be in the MIDDLE OF EVERYTHING!*,841009,Lauren,7/19/2011,1,98107,"Seattle, WA",United States,47.667933,-122.3786525,Apartment,Private room,4,1,1,4,Real Bed,$47.00 ,,,$200.00 ,$15.00 ,2,$10.00 ,1,1125,yesterday,23,strict
1148517,Cute Cottage in Sunny Ballard,6296335,Fleur,5/8/2013,1,98107,"Seattle, WA",United States,47.67296864,-122.3973382,House,Entire home/apt,4,1,2,2,Real Bed,$145.00 ,,,$100.00 ,$45.00 ,4,$30.00 ,2,14,6 weeks ago,45,moderate
2487892,Two blocks from downtown Ballard,1343908,Martin,10/27/2011,1,98107,"Seattle, WA",United States,47.66862742,-122.3894959,House,Private room,2,1,1,1,Futon,$70.00 ,,,,,1,$0.00 ,1,1125,today,75,flexible
3038772,"Cozy Private Room, Bath and Patio",15473800,Lisa,5/13/2014,1,98107,"Seattle, WA",United States,47.67011138,-122.3938693,House,Private room,2,1,1,1,Real Bed,$55.00 ,,,$100.00 ,$25.00 ,1,$10.00 ,2,1125,2 weeks ago,86,moderate
699460,Ballard Artist's Studio,3587674,Patti And Benson,9/16/2012,1,98107,"Seattle, WA",United States,47.6716905,-122.3852391,House,Private room,4,1,1,2,Real Bed,$95.00 ,,"$2,000.00 ",,$30.00 ,2,$35.00 ,2,90,3 weeks ago,151,moderate
4085439,Historic Ballard House,21066328,Debra,9/8/2014,1,98107,"Seattle, WA",United States,47.67083618,-122.3925371,House,Private room,2,1,1,1,Real Bed,$125.00 ,,,,,1,$0.00 ,1,1125,a week ago,6,flexible
8053990,Nautical Bedroom in Modern House,23228606,Elin,11/1/2014,3,98107,"Seattle, WA",United States,47.67088677,-122.3930293,House,Private room,2,1,1,1,Real Bed,$65.00 ,,,,$45.00 ,1,$0.00 ,1,26,2 days ago,16,moderate
7011773,Pull out couch in garage,23228606,Elin,11/1/2014,3,98107,"Seattle, WA",United States,47.67011497,-122.3929944,House,Private room,1,1,1,1,Pull-out Sofa,$25.00 ,,,,,1,$0.00 ,1,1125,3 months ago,0,flexible
2467550,Tiny Ballard House Near Transit,811494,Alexis,7/12/2011,1,98107,"Seattle, WA",United States,47.67430793,-122.3767423,House,Entire home/apt,4,1,0,2,Real Bed,$40.00 ,$250.00 ,$800.00 ,$500.00 ,$50.00 ,2,$10.00 ,5,1125,6 weeks ago,0,strict
2686374,Bunkhouse Topbunk/Airstream Retreat,2231298,Chris,4/26/2012,4,98107,"Seattle, WA",United States,47.67125039,-122.3826391,House,Entire home/apt,6,1,3,4,Real Bed,$149.00 ,"$1,300.00 ","$3,950.00 ",,,4,$20.00 ,1,1125,today,165,moderate
1956274,Sweet Ballard Apartment for Two,7466082,Vera,7/13/2013,1,98107,"Seattle, WA",United States,47.66869206,-122.3960894,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,$125.00 ,$900.00 ,"$3,750.00 ",$250.00 ,$75.00 ,0,$0.00 ,3,1125,a week ago,48,strict
8537192,Charming Old Ballard Bungalow (2/2),43954674,Brian,9/11/2015,3,98107,"Seattle, WA",United States,47.67180552,-122.3880471,House,Private room,2,0.5,1,1,Real Bed,$55.00 ,,,,,1,$0.00 ,1,1125,5 weeks ago,0,flexible
5919096,Ballard Victorian 900 sq ft apt,53050,Bob,11/10/2009,2,98107,"Seattle, WA",United States,47.6714184,-122.3853854,Apartment,Entire home/apt,4,1,1,3,Real Bed,$129.00 ,$903.00 ,,$250.00 ,$75.00 ,1,$0.00 ,5,999,today,2,strict
6516529,"One-bedroom Apartment, Ballard",3781927,Katharine,10/6/2012,1,98107,"Seattle, WA",United States,47.66874895,-122.38387,Apartment,Entire home/apt,2,1,1,1,Real Bed,$100.00 ,$650.00 ,"$2,000.00 ",,,1,$0.00 ,1,1125,8 months ago,0,strict
3294243,Beautiful Ballard condo with view!,4970133,Paula,2/5/2013,1,98107,"Seattle, WA",United States,47.67268172,-122.3877307,Apartment,Entire home/apt,4,2,2,2,Real Bed,$150.00 ,$950.00 ,,,,1,$0.00 ,2,1125,2 weeks ago,27,moderate
10210971,Bedroom & private bath in Ballard,24709547,Daniel,12/10/2014,1,98107,"Seattle, WA",United States,47.66968185,-122.3909885,Townhouse,Private room,1,1,1,1,Real Bed,$50.00 ,,,$500.00 ,$10.00 ,1,$20.00 ,1,1125,today,0,flexible
3584790,2 Bedrm Apt in the heart of Ballard,2882219,John And Alicia,7/9/2012,1,98117,"Seattle, WA",United States,47.67504404,-122.3827149,Apartment,Entire home/apt,6,1,2,3,Real Bed,$99.00 ,$599.00 ,,$200.00 ,,4,$0.00 ,5,15,3 months ago,0,moderate
1266459,Pretty Condo in Downtown Ballard,2317654,Dahlia,5/7/2012,1,98107,"Seattle, WA",United States,47.66797917,-122.3821054,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,$150.00 ,,,,$60.00 ,2,$50.00 ,2,1125,7 weeks ago,9,strict
9098059,Loft bedroom & art studio,43954674,Brian,9/11/2015,3,98107,"Seattle, WA",United States,47.67324985,-122.3873317,Bungalow,Entire home/apt,4,1,1,3,Real Bed,$105.00 ,,,,,1,$0.00 ,2,1125,yesterday,0,flexible
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,3/30/2012,2,98107,"Seattle, WA",United States,47.67553327,-122.376324,House,Entire home/apt,7,4,3,3,Real Bed,$218.00 ,"$1,221.00 ","$4,200.00 ",$750.00 ,$300.00 ,4,$15.00 ,14,60,1 week ago,0,strict
4118282,"Private, clean, spacious Townhome",19071753,Julien,7/28/2014,1,98117,"Seattle, WA",United States,47.67570811,-122.3875594,House,Entire home/apt,5,1.5,2,2,Real Bed,$80.00 ,,,$200.00 ,$75.00 ,1,$0.00 ,1,7,today,88,moderate
6813483,Victorian Charm in Heart of Ballard,35674639,Beverly,6/13/2015,1,98107,"Seattle, WA",United States,47.67477103,-122.3858305,Apartment,Entire home/apt,2,1,1,1,Real Bed,$126.00 ,$945.00 ,"$3,970.00 ",$300.00 ,$95.00 ,2,$25.00 ,2,1125,5 days ago,10,moderate
6590264,Modern Ballard Apt 4 Tech Travlers,24500821,Tim,12/4/2014,1,98107,"Seattle, WA",United States,47.66987432,-122.3877174,Apartment,Entire home/apt,4,1,1,2,Real Bed,$115.00 ,$750.00 ,,$500.00 ,$50.00 ,2,$50.00 ,1,1125,4 days ago,5,strict
2650482,Modern family home in Old Ballard,205007,Martin And Taryn,8/18/2010,1,98107,"Seattle, WA",United States,47.67097576,-122.3878253,Apartment,Entire home/apt,4,2,2,2,Real Bed,$225.00 ,,,,$75.00 ,1,$0.00 ,2,10,2 months ago,10,flexible
20927,Cottage in the Heart of Ballard,79450,Brad & Liz,2/9/2010,2,98107,"Seattle, WA",United States,47.67333939,-122.3951203,Cabin,Entire home/apt,2,1,1,1,Futon,$89.00 ,$549.00 ,,,$10.00 ,2,$0.00 ,2,14,today,244,moderate
